[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:20:30.251] Set: 77 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:30.451] Set: 63 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:30.657] Set: -13 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:30.858] Set: -15 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:31.058] Set: -10 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:31.266] Set: 57 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:31.467] Set: 55 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:31.667] Set: 53 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:31.872] Set: 40 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:32.069] Set: 30 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:20:32.270] Set: 36 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:32.478] Set: -7 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:32.674] Set: 7 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:32.873] Set: -0 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:33.083] Set: 87 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:33.282] Set: 83 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:33.480] Set: 88 V,  HV: 1 V,  I: 0.01 mA
[2025-07-10 14:20:33.691] Set: 19 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:33.887] Set: 21 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:34.079] Set: 17 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:34.294] Set: 24 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:34.495] Set: 20 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:34.690] Set: 30 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:34.904] Set: 88 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:35.097] Set: 82 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:35.297] Set: 86 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:35.506] Set: 14 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:35.706] Set: 1 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:35.899] Set: 7 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:36.112] Set: 36 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:36.311] Set: 43 V,  HV: -1 V,  I: 0.01 mA
[2025-07-10 14:20:36.506] Set: 51 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:20:36.710] Set: 79 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:36.919] Set: 84 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:37.120] Set: 72 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:37.324] Set: -3 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:37.525] Set: 4 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:37.726] Set: -9 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:37.931] Set: 45 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:38.131] Set: 53 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:38.331] Set: 49 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:38.532] Set: 63 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:20:38.735] Set: 52 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:20:38.937] Set: 57 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:39.142] Set: -13 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:39.343] Set: -12 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:39.541] Set: -14 V,  HV: -1 V,  I: 0.00 mA
