Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
16:24:18,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:18,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:19,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:19,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:20,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:20,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:21,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:22,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:22,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:23,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:23,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:24,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:24,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:25,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:25,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:26,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:26,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:27,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:27,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:28,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:28,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:29,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:30,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:30,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:31,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:31,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:32,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:32,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:33,35.70,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:33,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:34,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:34,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:35,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:35,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:36,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:37,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:37,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:38,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:38,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:39,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:39,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:40,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:40,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:41,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
